,dtype,non_null,n_unique
Farm_ID,str,4000,4000
State,str,4000,8
District,str,4000,10
Crop,str,4000,8
Season,str,4000,3
Farm_Area_Hectares,float64,4000,1370
Rainfall_mm,float64,3952,3256
Avg_Temperature_C,float64,4000,204
Humidity_pct,float64,4000,573
Sunlight_Hours_Day,float64,4000,71
Soil_pH,float64,4000,313
Soil_Moisture_pct,float64,3960,343
Nitrogen_kg_ha,float64,4000,1229
Phosphorus_kg_ha,float64,4000,760
Potassium_kg_ha,float64,4000,1137
Irrigation_Method,str,4000,4
Fertilizer_kg_ha,float64,4000,1881
Pesticide_Litre_ha,float64,4000,851
Seed_Quality_Score,float64,4000,36
Yield_Tonnes_Ha,float64,3968,738
Production_Tonnes,float64,4000,2528
Market_Price_INR_Tonne,int64,4000,3760
Total_Cost_INR,int64,4000,3995
Revenue_INR,int64,4000,3993
Profit_INR,int64,4000,3992
Water_Used_m3,int64,4000,3407
Water_Efficiency_t_per_1000m3,float64,4000,3127
Disease_Pest_Risk_pct,float64,4000,597
