column,outliers_overall,overall_pct,outliers_within_Crop
Farm_Area_Hectares,0,0.0,0
Rainfall_mm,0,0.0,0
Avg_Temperature_C,2,0.05,3
Humidity_pct,6,0.15,8
Sunlight_Hours_Day,26,0.65,24
Soil_pH,0,0.0,8
Soil_Moisture_pct,3,0.075,8
Nitrogen_kg_ha,10,0.25,16
Phosphorus_kg_ha,16,0.4,16
Potassium_kg_ha,32,0.8,26
Fertilizer_kg_ha,15,0.375,15
Pesticide_Litre_ha,8,0.2,7
Seed_Quality_Score,0,0.0,0
Yield_Tonnes_Ha,302,7.55,1
Production_Tonnes,333,8.325,31
Market_Price_INR_Tonne,0,0.0,35
Total_Cost_INR,0,0.0,0
Revenue_INR,240,6.0,42
Profit_INR,404,10.1,201
Water_Used_m3,276,6.9,5
Water_Efficiency_t_per_1000m3,322,8.05,55
Disease_Pest_Risk_pct,10,0.25,12
