,count,mean,std,min,1%,50%,99%,max,n_at_min,n_at_max,n_zero,n_negative
Farm_Area_Hectares,4000.0,7.888265,4.223763740410761,0.5,0.64,7.895,14.89,15.0,4,2,0,0
Rainfall_mm,3952.0,601.152656882591,288.9250252367811,80.0,80.0,582.0,1203.6979999999999,1395.2,103,1,0,0
Avg_Temperature_C,4000.0,26.818900000000003,3.8181798562081366,16.2,18.599,26.9,35.1,39.7,1,1,0,0
Humidity_pct,4000.0,63.2105,11.96083421583899,25.0,35.5,63.0,89.40399999999991,95.0,2,6,0,0
Sunlight_Hours_Day,4000.0,7.323049999999999,1.1211859622696396,3.5,4.899000000000001,7.3,10.0,11.0,2,3,0,0
Soil_pH,4000.0,6.70101,0.6414609480997142,5.2,5.2,6.69,8.240099999999998,8.4,44,17,0,0
Soil_Moisture_pct,3960.0,26.508232323232324,6.712483641100669,8.0,11.4,26.4,41.0,47.0,11,1,0,0
Nitrogen_kg_ha,4000.0,120.25082499999999,31.216451688707085,40.0,47.593,120.1,190.6039999999999,220.0,24,4,0,0
Phosphorus_kg_ha,4000.0,57.781850000000006,17.01507445670432,15.0,17.298000000000002,57.5,97.10099999999997,120.0,27,3,0,0
Potassium_kg_ha,4000.0,104.76004999999999,27.742680621733722,30.0,38.592000000000006,105.1,168.90299999999993,200.0,22,2,0,0
Fertilizer_kg_ha,4000.0,186.036,60.260583207202025,40.0,44.595,186.25,328.11199999999974,400.0,33,2,0,0
Pesticide_Litre_ha,4000.0,5.0709349999999995,1.978879245063133,0.5,0.5,5.12,9.520199999999996,12.08,51,1,0,0
Seed_Quality_Score,4000.0,0.8261375000000001,0.10174671587966894,0.65,0.65,0.83,1.0,1.0,53,73,0,0
Yield_Tonnes_Ha,3968.0,5.270594758064516,13.361397725531049,0.3,0.3,1.74,70.82329999999999,101.44,220,1,0,0
Production_Tonnes,4000.0,43.246210000000005,126.88052096356594,0.15,0.4999,11.77,701.5907999999996,1424.4,1,1,0,0
Market_Price_INR_Tonne,4000.0,44714.16625,30266.16192202909,2594.0,3088.96,25913.0,116094.08,131240.0,1,1,0,0
Total_Cost_INR,4000.0,526303.583,294419.14091065776,26826.0,42634.82,519082.5,1126428.82,1349990.0,1,1,0,0
Revenue_INR,4000.0,637860.048,636974.7100537781,6107.0,21419.280000000002,456830.5,3171876.9299999992,5080900.0,1,1,0,0
Profit_INR,4000.0,111556.465,545081.8905089505,-1019223.0,-741708.5,3673.0,2341398.9099999983,4345421.0,1,1,0,1966
Water_Used_m3,4000.0,6045.57025,5572.9443060311005,128.0,271.98,4435.0,26615.75999999998,40902.0,1,1,0,0
Water_Efficiency_t_per_1000m3,4000.0,5.385214249999999,8.838100836573789,0.135,0.31791,2.9375,50.01456999999987,79.8,1,1,0,0
Disease_Pest_Risk_pct,4000.0,46.365875,12.424417069595451,5.0,18.7,46.4,74.60099999999997,88.9,1,1,0,0
